NOM;Y;X
Amiens;49.887557;2.296143
Reims;49.260635;4.031982
Nancy;48.698212;6.174316
Metz;49.124219;6.174316
Arras;50.296358;2.757568
Dunkerque;51.034486;2.373047
Epinal;48.180739;6.448975
Lille;50.632042;3.065186
Bruxelles;50.844105;4.350586
Namur;50.467995;4.86145
Liège;50.642494;5.570068
Anvers;51.220647;4.389038
Gand;51.05866;3.718872
Luxembourg;49.60715;6.119385
Amsterdam;52.362183;4.87793
Rotterdam;51.923943;4.460449
Dusseldorf;51.222368;6.764832
Cologne;50.939393;6.957092
Tilburg;51.563412;5.075684
Dortmund;51.512161;7.467957
